record_type,business_id,name,full_address,city,state,stars,review_count,open,category
category,KWHxtFzhNG-Wk1wKv0qTRQ,"Alta Villa","13940 W Meeker Boulevard Suite 111 Sun City West, AZ 85375",Sun City West,AZ,3.5,6,True,"Pizza"
category,KWHxtFzhNG-Wk1wKv0qTRQ,"Alta Villa","13940 W Meeker Boulevard Suite 111 Sun City West, AZ 85375",Sun City West,AZ,3.5,6,True,"Restaurants"
category,pYXh6LgEa46HzeGO8L_srw,"O'Callaghan Park","601 Skyline Dr Henderson, NV 89002",Henderson,NV,4.5,7,True,"Active Life"
category,pYXh6LgEa46HzeGO8L_srw,"O'Callaghan Park","601 Skyline Dr Henderson, NV 89002",Henderson,NV,4.5,7,True,"Parks"
category,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,1.5,80,True,"Hotels & Travel"
category,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,1.5,80,True,"Car Rental"
category,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,4.5,23,True,"Arts & Entertainment"
category,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,4.5,23,True,"Shopping"
category,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,4.5,23,True,"Art Galleries"
category,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,4.5,23,True,"Performing Arts"
category,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,4.5,23,True,"Nightlife"
category,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,4.5,23,True,"Jazz & Blues"
category,rhOC6FyEpPuZxm563uwLzQ,"Baja Fresh Mexican Grill","10120 W McDowell Rd Ste 160 Avondale, AZ 85323",Avondale,AZ,4.0,9,False,"Mexican"
category,rhOC6FyEpPuZxm563uwLzQ,"Baja Fresh Mexican Grill","10120 W McDowell Rd Ste 160 Avondale, AZ 85323",Avondale,AZ,4.0,9,False,"Restaurants"
category,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,3.5,8,True,"Home Services"
category,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,3.5,8,True,"Real Estate"
category,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,3.5,8,True,"Apartments"
category,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,2.0,3,True,"Hair Salons"
category,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,2.0,3,True,"Men's Hair Salons"
category,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,2.0,3,True,"Beauty & Spas"
category,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,2.5,6,True,"Pubs"
category,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,2.5,6,True,"Breakfast & Brunch"
category,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,2.5,6,True,"Bars"
category,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,2.5,6,True,"Nightlife"
category,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,2.5,6,True,"Restaurants"
