record_type,business_id,name,city,state,latitude,longitude,neighborhood
location,4kVakngmi0vfTmRCowcS4Q,"Hub Cap Annie","Las Vegas",NV,36.1585737,-115.118652,"Downtown"
location,CkFFL2W3ChkOqHJj6GSk_g,"Lucky Cheng's Restaurant","Las Vegas",NV,36.1111846,-115.1707331,"The Strip"
location,YbL6pbLmW_mohngendXsQA,"Boulevard Deli","Pittsburgh",PA,40.4385062,-79.9996761,"Downtown"
location,amluA1icyExbdh9UQtvZrA,"Fishers","Edinburgh",EDH,55.9775198,-3.1689022,"Leith"
location,9_FV_-Z72yiWRTJa5VXzuA,"Cash For Gold of Las Vegas","Las Vegas",NV,36.1428,-115.278464,"Westside"
location,YkgYT5kfaDSq9IgsGvmS3g,"Jalisco Cantina","Las Vegas",NV,36.072247537,-115.09902969,"Southeast"
location,sZ2vDfComr7Z8Gab74flWw,"Fast-Fix Jewelry Repairs","Las Vegas",NV,36.1252618,-115.13717,"Eastside"
location,IlR0RP40pqcg_9RTQEBbtQ,"Terrible Herbst","Las Vegas",NV,36.115082,-115.137259,"Eastside"
location,cztrFy6_1g8vPzHEZVkIVQ,"LeSportsac Outlet","Las Vegas",NV,36.1629926,-115.1592511,"Downtown"
location,R0MhNwopWTWXcg8CPAFgpw,"The Cracked Egg","Las Vegas",NV,36.071857,-115.243649,"Spring Valley"
location,RzVwAdOxT9JQkeoeBMYPoQ,"Sierra Gold","Las Vegas",NV,36.203981645,-115.259931386,"Summerlin"
location,5plPt2gG-sLuaD0FlFT_nQ,"Storage One","Las Vegas",NV,36.064259,-115.305114,"Spring Valley"
location,d-iWjHjrEnBREyjArQZ1hQ,"Godiva Chocolatier #344","Las Vegas",NV,36.1213977,-115.171675,"The Strip"
location,4ziGP1LXWmwRWtmiuLFQ6A,"Lamps Plus","Las Vegas",NV,36.1613371,-115.2878484,"Westside"
location,6eca7Orpujg6VAVz7UUsUA,"Lazeez","Las Vegas",NV,36.1300289,-115.2777727,"Westside"
location,J66qFJely2dWxlpMECCA_g,"Greenwich Village Coffee Co.","Las Vegas",NV,36.1030009,-115.1735161,"The Strip"
location,bKg0Ji7XgdkamWL0kVem7w,"Breeze Cafe","Las Vegas",NV,36.1067595588,-115.17767439,"The Strip"
location,uZDXtaFVR307UOHhn2sStg,"Jay Design","Pittsburgh",PA,40.4729755,-79.9588153,"Lawrenceville"
location,iW6Y5BcxUS6tCrAmE45KtQ,"Sin City Theatre","Las Vegas",NV,36.1100668,-115.172501,"The Strip"
location,6-unY9idQjxFUd4FHP6AGA,"Payal Indian Groceries & Spices","Charlotte",NC,35.1526799,-80.87845,"Starmount"
