record_type,business_id,name,full_address,city,state,open,day,opens,closes
open-hours,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,True,Monday,04:30,01:00
open-hours,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,True,Tuesday,04:30,01:00
open-hours,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,True,Friday,04:30,01:00
open-hours,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,True,Wednesday,04:30,01:00
open-hours,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,True,Thursday,04:30,01:00
open-hours,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,True,Sunday,04:30,01:00
open-hours,eThu9hCL8NOjOxswQ-cFSg,"Hertz Rent A Car","Charlotte Douglas International Airport 4102 Rental Car Road Charlotte, NC 28214",Charlotte,NC,True,Saturday,04:30,01:00
open-hours,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,True,Sunday,18:00,21:00
open-hours,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,True,Friday,19:30,22:00
open-hours,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,True,Saturday,19:30,22:00
open-hours,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,True,Thursday,19:30,22:00
open-hours,yFmBMNsuOIe2u5kh7NtA0g,"The Nash","110 E Roosevelt St Ste 110 Phoenix, AZ 85004",Phoenix,AZ,True,Wednesday,19:30,21:30
open-hours,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,True,Monday,09:00,18:00
open-hours,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,True,Tuesday,09:00,18:00
open-hours,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,True,Friday,09:00,18:00
open-hours,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,True,Wednesday,09:00,18:00
open-hours,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,True,Thursday,09:00,18:00
open-hours,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,True,Sunday,12:00,17:00
open-hours,zFAFPkJdOhQcvKgSIlE7vg,"Bella Vista Apartments","7810 N 14th Pl Phoenix, AZ 85020",Phoenix,AZ,True,Saturday,10:00,17:00
open-hours,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,True,Monday,09:00,20:00
open-hours,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,True,Tuesday,09:00,20:00
open-hours,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,True,Friday,09:00,20:00
open-hours,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,True,Wednesday,09:00,20:00
open-hours,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,True,Thursday,09:00,20:00
open-hours,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,True,Sunday,10:00,16:00
open-hours,qxJzgciIACOqd9_xxdSsKg,"Supercuts","6715 Frank Lloyd Wright Blvd Middleton Hills Middleton, WI 53562",Middleton,WI,True,Saturday,09:00,18:00
open-hours,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,True,Monday,11:00,23:00
open-hours,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,True,Tuesday,11:00,23:00
open-hours,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,True,Friday,11:00,23:00
open-hours,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,True,Wednesday,11:00,23:00
open-hours,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,True,Thursday,11:00,23:00
open-hours,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,True,Sunday,10:30,23:00
open-hours,-2BNc33MHRuXljtCkXcLPg,"Lion Brewery Restaurant","59 King Street N Waterloo, ON N2J 2X2",Waterloo,ON,True,Saturday,10:30,23:00
open-hours,4qHUHUYAu04kdlxMOgJdIA,"Stella's Coffee House & Lunch Grotto","1430 W Warner Rd Gilbert, AZ 85233",Gilbert,AZ,False,Monday,08:00,15:00
