"alpha"	"tile size"	"iterations"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
"0.01"	50	20	"265441_at"	"254227_at"	"248496_at"	"261375_at"	"259089_at"	"265531_at"	"256259_at"	"247217_s_at"	"253108_at"	"264830_at"	"264137_at"	"249012_at"	"257422_at"	"256481_at"	"263092_at"	"249005_at"	"255644_at"	"251782_at"	"264170_at"	"249939_at"	"260355_at"	"266530_at"	"255906_at"	"254100_at"	"251979_at"	"245842_at"	"251560_at"	"256422_at"	"257051_at"	"257823_at"	"244920_s_at"	"252063_at"	"267528_at"	"262449_at"	"264539_at"	"262534_at"	"251229_at"	"248831_at"	"264180_at"	"260806_at"	"267440_at"	"250722_at"	"250637_at"	"247372_at"	"263546_at"	"247966_at"	"260515_at"	"246456_at"	"245322_at"	"266403_at"	"256418_at"	"251555_at"	"264907_at"	"258299_at"	"247068_at"
"0.01"	50	50	"265441_at"	"248496_at"	"254227_at"	"261375_at"	"259089_at"	"265531_at"	"254100_at"	"256259_at"	"264830_at"	"253108_at"	"264137_at"	"255644_at"	"249005_at"	"257051_at"	"249939_at"	"263092_at"	"256422_at"	"247217_s_at"	"256481_at"	"245842_at"	"255906_at"	"260355_at"	"252063_at"	"262534_at"	"249012_at"	"251979_at"	"251782_at"	"256971_at"	"258299_at"	"250637_at"	"257130_at"	"264907_at"	"260806_at"	"262449_at"	"251229_at"	"257823_at"	"256418_at"	"264180_at"	"247966_at"	"251560_at"	"264949_at"	"267440_at"	"253145_at"	"263546_at"	"245322_at"	"264170_at"	"267528_at"	"258042_at"	"257579_at"	"264039_at"	"250722_at"	"264906_at"	"248111_at"	"251555_at"	"261137_at"
"0.01"	50	100	"265441_at"	"248496_at"	"254227_at"	"261375_at"	"259089_at"	"265531_at"	"256259_at"	"254100_at"	"247217_s_at"	"253108_at"	"264830_at"	"255644_at"	"263092_at"	"249939_at"	"264137_at"	"249005_at"	"249012_at"	"255906_at"	"245842_at"	"264907_at"	"260355_at"	"257051_at"	"251782_at"	"251979_at"	"264170_at"	"252063_at"	"256481_at"	"257130_at"	"264180_at"	"256422_at"	"260806_at"	"251555_at"	"256971_at"	"264539_at"	"258299_at"	"264039_at"	"262534_at"	"256418_at"	"251560_at"	"267440_at"	"256111_at"	"262449_at"	"251229_at"	"253105_at"	"263546_at"	"267528_at"	"247966_at"	"257823_at"	"258042_at"	"257579_at"	"266530_at"	"248111_at"	"246962_s_at"	"244920_s_at"	"245322_at"
"0.01"	50	250	"265441_at"	"248496_at"	"261375_at"	"254227_at"	"259089_at"	"265531_at"	"256259_at"	"253108_at"	"264137_at"	"254100_at"	"255644_at"	"247217_s_at"	"249012_at"	"264830_at"	"263092_at"	"249939_at"	"249005_at"	"245842_at"	"257051_at"	"255906_at"	"256481_at"	"251782_at"	"264170_at"	"251979_at"	"264180_at"	"260806_at"	"252063_at"	"251229_at"	"264907_at"	"262449_at"	"251560_at"	"260355_at"	"262534_at"	"256422_at"	"257130_at"	"258299_at"	"264039_at"	"264667_s_at"	"247966_at"	"256418_at"	"253105_at"	"264489_at"	"263546_at"	"258042_at"	"267528_at"	"257823_at"	"251555_at"	"253145_at"	"257579_at"	"253712_at"	"264539_at"	"267440_at"	"260788_at"	"267304_at"	"256971_at"
"0.01"	50	500	"265441_at"	"248496_at"	"254227_at"	"259089_at"	"261375_at"	"265531_at"	"256259_at"	"247217_s_at"	"264137_at"	"253108_at"	"255644_at"	"254100_at"	"249939_at"	"264830_at"	"249005_at"	"255906_at"	"263092_at"	"251782_at"	"245842_at"	"249012_at"	"257051_at"	"260355_at"	"260806_at"	"251979_at"	"256481_at"	"264907_at"	"264170_at"	"252063_at"	"262534_at"	"264180_at"	"257130_at"	"251229_at"	"262449_at"	"256422_at"	"258299_at"	"251560_at"	"257823_at"	"264039_at"	"264539_at"	"251555_at"	"264489_at"	"247966_at"	"264667_s_at"	"257579_at"	"256111_at"	"267440_at"	"248111_at"	"263546_at"	"267528_at"	"256418_at"	"253145_at"	"257422_at"	"266530_at"	"260788_at"	"256971_at"
"0.01"	50	1000	"265441_at"	"248496_at"	"259089_at"	"261375_at"	"254227_at"	"265531_at"	"256259_at"	"254100_at"	"247217_s_at"	"253108_at"	"264830_at"	"255644_at"	"264137_at"	"263092_at"	"249939_at"	"255906_at"	"249005_at"	"249012_at"	"251782_at"	"245842_at"	"257051_at"	"260355_at"	"260806_at"	"264907_at"	"251979_at"	"252063_at"	"256481_at"	"262534_at"	"257130_at"	"264180_at"	"264170_at"	"256422_at"	"262449_at"	"251229_at"	"251560_at"	"258299_at"	"247966_at"	"267528_at"	"256418_at"	"264539_at"	"264667_s_at"	"264039_at"	"251555_at"	"264489_at"	"253145_at"	"257823_at"	"266530_at"	"263546_at"	"267440_at"	"258042_at"	"256971_at"	"246962_s_at"	"248111_at"	"257579_at"	"260788_at"
"0.01"	50	1500	"265441_at"	"248496_at"	"259089_at"	"261375_at"	"254227_at"	"265531_at"	"256259_at"	"253108_at"	"254100_at"	"264830_at"	"247217_s_at"	"255644_at"	"264137_at"	"249005_at"	"249939_at"	"263092_at"	"249012_at"	"255906_at"	"251782_at"	"245842_at"	"257051_at"	"260355_at"	"260806_at"	"252063_at"	"256481_at"	"251979_at"	"264907_at"	"262534_at"	"264170_at"	"264180_at"	"256422_at"	"257130_at"	"251560_at"	"251229_at"	"258299_at"	"262449_at"	"247966_at"	"264039_at"	"256418_at"	"264667_s_at"	"257823_at"	"251555_at"	"263546_at"	"264539_at"	"267528_at"	"266530_at"	"264489_at"	"258042_at"	"256971_at"	"248111_at"	"267440_at"	"257422_at"	"264949_at"	"247068_at"	"248831_at"
"0.01"	50	2000	"265441_at"	"248496_at"	"254227_at"	"259089_at"	"261375_at"	"265531_at"	"256259_at"	"264830_at"	"254100_at"	"253108_at"	"247217_s_at"	"255644_at"	"264137_at"	"263092_at"	"249939_at"	"249005_at"	"255906_at"	"249012_at"	"257051_at"	"245842_at"	"251782_at"	"260355_at"	"251979_at"	"252063_at"	"256481_at"	"260806_at"	"264907_at"	"264170_at"	"264180_at"	"251229_at"	"256422_at"	"262449_at"	"257130_at"	"262534_at"	"258299_at"	"251560_at"	"247966_at"	"264039_at"	"264667_s_at"	"257823_at"	"263546_at"	"256418_at"	"264489_at"	"264539_at"	"267528_at"	"256971_at"	"248111_at"	"267440_at"	"251555_at"	"246962_s_at"	"257579_at"	"258042_at"	"260788_at"	"266530_at"	"248831_at"
"0.01"	100	20	"265441_at"	"254227_at"	"259089_at"	"261375_at"	"248496_at"	"256259_at"	"255644_at"	"249939_at"	"255906_at"	"245842_at"	"263092_at"	"264907_at"	"251979_at"	"252063_at"	"249005_at"	"251560_at"	"265531_at"	"257051_at"	"264137_at"	"251782_at"	"260355_at"	"264180_at"	"263546_at"	"264170_at"	"264830_at"	"260806_at"	"258299_at"	"255448_at"	"253108_at"	"264667_s_at"	"262449_at"	"266530_at"	"247966_at"	"248111_at"	"264489_at"	"257130_at"	"256481_at"	"262534_at"	"251229_at"	"267528_at"	"253987_at"	"254574_at"	"257823_at"	"259673_at"	"251555_at"	"259802_at"	"262680_at"	"253880_at"	"253712_at"	"246380_at"	"257579_at"	"247372_at"	"264019_at"	"257422_at"	"258321_at"
"0.01"	100	50	"259089_at"	"265441_at"	"261375_at"	"248496_at"	"254227_at"	"255644_at"	"256259_at"	"263092_at"	"249939_at"	"245842_at"	"257051_at"	"265531_at"	"249005_at"	"252063_at"	"251979_at"	"255906_at"	"264830_at"	"264907_at"	"253108_at"	"260806_at"	"257130_at"	"251229_at"	"256481_at"	"264137_at"	"260355_at"	"267528_at"	"249012_at"	"251555_at"	"263546_at"	"251560_at"	"264180_at"	"264170_at"	"248111_at"	"247217_s_at"	"262534_at"	"264039_at"	"264489_at"	"245571_at"	"262680_at"	"254100_at"	"266530_at"	"246380_at"	"253880_at"	"255448_at"	"246962_s_at"	"265232_s_at"	"266403_at"	"251782_at"	"262449_at"	"253712_at"	"257579_at"	"256418_at"	"254574_at"	"258299_at"	"264906_at"
