record_type,user_id,name,compliment_type, num_compliments_of_this_type
compliment,qUUOvfrVdyRnyABbUUnl0A,Ashu,plain,1
compliment,yJkIWqoZofQUVcOWEoXMQg,Savannah,plain,1
compliment,yJkIWqoZofQUVcOWEoXMQg,Savannah,more,1
compliment,oyiK-AV48ZvkAV1guDyNNA,Ian,plain,1
compliment,VRy5rz3CI1XzHlpukQ_heQ,Hannah,note,1
compliment,VRy5rz3CI1XzHlpukQ_heQ,Hannah,photos,1
compliment,VRy5rz3CI1XzHlpukQ_heQ,Hannah,cool,1
compliment,VRy5rz3CI1XzHlpukQ_heQ,Hannah,plain,1
compliment,VRy5rz3CI1XzHlpukQ_heQ,Hannah,funny,1
compliment,le45WYMBB-S-pXHgak1EEw,Julia,profile,1
compliment,le45WYMBB-S-pXHgak1EEw,Julia,photos,1
compliment,P8--AodlkDIli1eQVeQkHA,Elizabeth,note,3
compliment,P8--AodlkDIli1eQVeQkHA,Elizabeth,plain,4
compliment,P8--AodlkDIli1eQVeQkHA,Elizabeth,writer,2
compliment,P8--AodlkDIli1eQVeQkHA,Elizabeth,cool,3
compliment,pUH4jgOmTNIdATc6eD8ShQ,Lawrence,plain,1
compliment,pUH4jgOmTNIdATc6eD8ShQ,Lawrence,more,1
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,profile,5
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,cute,10
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,funny,36
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,plain,80
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,writer,12
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,list,2
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,note,25
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,photos,3
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,hot,36
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,cool,60
compliment,CrobQS8vrbL9WscsILhNaQ,Kara,more,14
compliment,q-PTWMtatEy3akLtSz6RUQ,Dainen,note,1
compliment,zBOHzXD4ptV9KH9znSjGFw,TTrraaccYY,plain,1
compliment,zBOHzXD4ptV9KH9znSjGFw,TTrraaccYY,hot,1
compliment,zBOHzXD4ptV9KH9znSjGFw,TTrraaccYY,cool,2
compliment,2HtycTqPdaZNwSI-5yoP4w,Tina,profile,1
compliment,2HtycTqPdaZNwSI-5yoP4w,Tina,plain,2
compliment,2HtycTqPdaZNwSI-5yoP4w,Tina,list,3
compliment,2HtycTqPdaZNwSI-5yoP4w,Tina,note,2
compliment,2HtycTqPdaZNwSI-5yoP4w,Tina,photos,2
compliment,2HtycTqPdaZNwSI-5yoP4w,Tina,hot,4
compliment,2HtycTqPdaZNwSI-5yoP4w,Tina,cool,1
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,cute,2
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,funny,4
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,plain,8
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,writer,5
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,note,11
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,photos,4
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,hot,8
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,more,4
compliment,cxp0BBYoJG4r6mo1m7wAgQ,Yen,cool,16
compliment,aDvsKYxRwhOdfiDnjAwrfA,Adam,plain,2
compliment,BhiRY4wv4j_5iIuP__Po3Q,Bill,plain,1
compliment,8MP2Vg9LEcJKAIzhSlh_jA,Xochmar,note,2
compliment,6Ltt4LYdKe6yFlnJEkHPVw,Todd,note,1
compliment,6Ltt4LYdKe6yFlnJEkHPVw,Todd,plain,1
compliment,6Ltt4LYdKe6yFlnJEkHPVw,Todd,hot,1
compliment,6Ltt4LYdKe6yFlnJEkHPVw,Todd,more,1
compliment,6Ltt4LYdKe6yFlnJEkHPVw,Todd,cool,1
compliment,QM1CBJVZro4twuKwdA2qng,Tammy,note,2
compliment,QM1CBJVZro4twuKwdA2qng,Tammy,plain,1
compliment,QM1CBJVZro4twuKwdA2qng,Tammy,more,1
compliment,QM1CBJVZro4twuKwdA2qng,Tammy,writer,1
compliment,QM1CBJVZro4twuKwdA2qng,Tammy,cool,1
compliment,oratl7xW59gJlC2SrEnOSw,Marc,funny,1
compliment,9X8QyzetflWC_YxLHtlThA,Moe,writer,1
compliment,KkDgTYG7NkPQ7RWj6L6xlA,sam,writer,1
compliment,U3WRpYFHwBNLGPmZkmKWGA,Beth,note,1
compliment,U3WRpYFHwBNLGPmZkmKWGA,Beth,plain,1
compliment,TLnLi5U0T3AA3JTJiFz8jA,Jesus,funny,1
compliment,TLnLi5U0T3AA3JTJiFz8jA,Jesus,plain,4
compliment,TLnLi5U0T3AA3JTJiFz8jA,Jesus,writer,5
compliment,TLnLi5U0T3AA3JTJiFz8jA,Jesus,note,2
compliment,TLnLi5U0T3AA3JTJiFz8jA,Jesus,hot,2
compliment,TLnLi5U0T3AA3JTJiFz8jA,Jesus,cool,3
compliment,TLnLi5U0T3AA3JTJiFz8jA,Jesus,more,2
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,profile,2
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,cute,3
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,funny,13
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,plain,43
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,writer,12
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,list,1
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,note,24
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,photos,7
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,hot,40
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,more,4
compliment,4qRz_FoKPwHNvPdESPa8xA,Priscilla,cool,51
compliment,Pog5uNIIgxw8IUfgp448cQ,Malissa,note,1
compliment,Pog5uNIIgxw8IUfgp448cQ,Malissa,writer,1
compliment,ryCJTUvjknHtseI7y519jA,Yunxia,plain,1
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,profile,1
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,funny,1
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,plain,12
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,writer,15
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,note,5
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,photos,1
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,hot,5
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,cool,11
compliment,rEmIPqVWuKQoB27YKRTLWw,Randy,more,1
compliment,fIRFQ3cYna9UK3CwFmYKfw,Jason,funny,5
compliment,fIRFQ3cYna9UK3CwFmYKfw,Jason,plain,5
compliment,fIRFQ3cYna9UK3CwFmYKfw,Jason,writer,20
compliment,fIRFQ3cYna9UK3CwFmYKfw,Jason,list,1
compliment,fIRFQ3cYna9UK3CwFmYKfw,Jason,note,5
compliment,fIRFQ3cYna9UK3CwFmYKfw,Jason,hot,11
compliment,fIRFQ3cYna9UK3CwFmYKfw,Jason,cool,13
compliment,fIRFQ3cYna9UK3CwFmYKfw,Jason,more,4
compliment,BqTkRSlL9IZX6soKJeyJmA,Brett,note,1
compliment,a5Tu7TMtht2zod-8CFd5oA,Andrew,funny,2
compliment,a5Tu7TMtht2zod-8CFd5oA,Andrew,plain,5
compliment,a5Tu7TMtht2zod-8CFd5oA,Andrew,writer,1
compliment,a5Tu7TMtht2zod-8CFd5oA,Andrew,note,2
compliment,a5Tu7TMtht2zod-8CFd5oA,Andrew,hot,1
compliment,a5Tu7TMtht2zod-8CFd5oA,Andrew,cool,2
compliment,yFWqwQvyTzQTD9BqOdyuNw,Stephanie,hot,2
compliment,yFWqwQvyTzQTD9BqOdyuNw,Stephanie,writer,1
compliment,yFWqwQvyTzQTD9BqOdyuNw,Stephanie,more,1
compliment,tiB16GhmXmnD7Vr32vvm6g,Hiromi,note,3
compliment,tiB16GhmXmnD7Vr32vvm6g,Hiromi,plain,1
compliment,5ziDkgdxceV2sSYSVMPtJw,Brent,hot,1
compliment,d2JWb5loJ8BrggXJikKLpg,t,funny,1
compliment,d2JWb5loJ8BrggXJikKLpg,t,plain,1
compliment,d2JWb5loJ8BrggXJikKLpg,t,writer,2
compliment,d2JWb5loJ8BrggXJikKLpg,t,note,4
compliment,d2JWb5loJ8BrggXJikKLpg,t,hot,6
compliment,d2JWb5loJ8BrggXJikKLpg,t,more,2
compliment,d2JWb5loJ8BrggXJikKLpg,t,cool,11
compliment,hzuPLuA3LpOMN981IF2d_Q,David,plain,1
compliment,VbwTN3cbwQKW0Uc1_zfWIg,Melissa,cool,1
compliment,J_2iu0G51hEyMLlBtLrCgw,Lani,funny,1
compliment,J_2iu0G51hEyMLlBtLrCgw,Lani,hot,1
compliment,kvfBYo5SzyeotTvxOac9YQ,Jon,plain,1
compliment,3yc5JeWwQVhjx22Lx6OQ0Q,John,funny,3
compliment,3yc5JeWwQVhjx22Lx6OQ0Q,John,hot,1
compliment,3yc5JeWwQVhjx22Lx6OQ0Q,John,plain,1
compliment,3yc5JeWwQVhjx22Lx6OQ0Q,John,more,2
compliment,3yc5JeWwQVhjx22Lx6OQ0Q,John,cool,2
compliment,Bp4jUH7cmpRRIPHUSqSAMg,Adam,plain,1
compliment,GrBCuXatrBQ9k6sODMF_qQ,Divine,note,1
compliment,woQL6Al8Iutd7VcQ5Y9EVQ,Johnny,hot,1
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,profile,1
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,cute,1
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,funny,6
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,plain,9
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,writer,1
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,note,9
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,photos,1
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,hot,14
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,cool,14
compliment,Dkaj-rzNMuv9kxsbYOi7NA,Alexandra,more,3
compliment,pzqS9qDW9oK6FbLDzbbchA,Shari,profile,1
compliment,pzqS9qDW9oK6FbLDzbbchA,Shari,funny,1
compliment,pzqS9qDW9oK6FbLDzbbchA,Shari,plain,1
compliment,pzqS9qDW9oK6FbLDzbbchA,Shari,writer,1
compliment,pzqS9qDW9oK6FbLDzbbchA,Shari,hot,2
compliment,pzqS9qDW9oK6FbLDzbbchA,Shari,cool,2
compliment,pzqS9qDW9oK6FbLDzbbchA,Shari,more,2
compliment,ukjs1KQMg3CenzKn9X0XDw,George,note,5
compliment,ukjs1KQMg3CenzKn9X0XDw,George,photos,3
compliment,ukjs1KQMg3CenzKn9X0XDw,George,plain,8
compliment,ukjs1KQMg3CenzKn9X0XDw,George,cool,5
compliment,dvnk4Sq80OzhcIptr8MBIg,LT,note,1
compliment,dvnk4Sq80OzhcIptr8MBIg,LT,cool,1
compliment,LPfoWGML8jqpHLTTkdsIUQ,Tia,plain,1
compliment,LPfoWGML8jqpHLTTkdsIUQ,Tia,writer,2
compliment,LPfoWGML8jqpHLTTkdsIUQ,Tia,photos,2
compliment,LPfoWGML8jqpHLTTkdsIUQ,Tia,hot,5
compliment,LPfoWGML8jqpHLTTkdsIUQ,Tia,more,2
compliment,LPfoWGML8jqpHLTTkdsIUQ,Tia,cool,7
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,funny,3
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,plain,11
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,writer,6
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,list,2
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,note,2
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,photos,1
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,hot,6
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,cool,15
compliment,ysV8DGKNTTC0LSACW8Q_7g,Kelsey,more,3
compliment,QeKDIiECEI1fV4y-klrfBQ,Jeffrey,note,1
compliment,QeKDIiECEI1fV4y-klrfBQ,Jeffrey,cool,1
compliment,EJiXnx6G-Psedp-TYwJL0g,Troy,note,2
compliment,EJiXnx6G-Psedp-TYwJL0g,Troy,plain,2
compliment,EJiXnx6G-Psedp-TYwJL0g,Troy,cool,1
compliment,EJiXnx6G-Psedp-TYwJL0g,Troy,funny,1
compliment,Z20m7tPG1UJbOOZEH-RLAw,Mandy,funny,1
compliment,Z20m7tPG1UJbOOZEH-RLAw,Mandy,more,2
compliment,qIE7fYpjyuyr99gCV7234A,Camille,plain,1
compliment,vBt_-Nzv1wEqD7CBvnJtLQ,Christopher,note,1
compliment,vTdEV7x1dPJQHQfhgBM6-g,Cindy,note,1
compliment,JOZJZvC6YvAac0_T27vyLg,Moramay,note,1
compliment,WQZv2et1BYLvEfJbxGDHNQ,Gracie,note,2
compliment,WQZv2et1BYLvEfJbxGDHNQ,Gracie,funny,1
compliment,ARUrWyMYIUMkKYmzVtwD1w,Sandy,photos,1
compliment,ARUrWyMYIUMkKYmzVtwD1w,Sandy,more,1
compliment,ARUrWyMYIUMkKYmzVtwD1w,Sandy,cool,2
compliment,Tv45F7WTcQ4B7TkfLHN4tg,Susan,plain,1
compliment,ewC0f7PwbptSESRRZWbFIw,Charles,funny,4
compliment,ewC0f7PwbptSESRRZWbFIw,Charles,plain,9
compliment,ewC0f7PwbptSESRRZWbFIw,Charles,writer,3
compliment,ewC0f7PwbptSESRRZWbFIw,Charles,note,4
compliment,ewC0f7PwbptSESRRZWbFIw,Charles,hot,3
compliment,ewC0f7PwbptSESRRZWbFIw,Charles,more,6
compliment,ewC0f7PwbptSESRRZWbFIw,Charles,cool,7
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,funny,14
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,cute,1
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,plain,22
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,writer,10
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,note,9
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,photos,2
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,hot,18
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,more,3
compliment,PwANTxC5mSWGVeSvU1zbYg,Heather,cool,21
compliment,0SoISZf3Y-Q7o-0rViKi_A,Tara,plain,1
compliment,QZZIvPsbrnkTY0FcRfzJNw,Sally,photos,1
compliment,QZZIvPsbrnkTY0FcRfzJNw,Sally,cool,1
compliment,tANT6Lg0ZNDuo_OTGAxUYw,Danny,writer,1
compliment,mqPRd8QE9lkjr4cuyiMaOg,Kristi,plain,1
compliment,mqPRd8QE9lkjr4cuyiMaOg,Kristi,more,1
compliment,w6Q3ejGQVsKjl96Q6ilfjw,Sheli,cute,1
compliment,pXNfvafDj5kRxDd8iupyGA,Michael,plain,4
compliment,pXNfvafDj5kRxDd8iupyGA,Michael,writer,1
compliment,pXNfvafDj5kRxDd8iupyGA,Michael,funny,2
compliment,pXNfvafDj5kRxDd8iupyGA,Michael,cool,2
compliment,8NDr7ZBFvp0rET6hJwDcaQ,Ivan,more,1
compliment,Cr4OZdE_jmtNkDEKB173KA,Saranya,note,1
compliment,Cr4OZdE_jmtNkDEKB173KA,Saranya,cool,1
compliment,ToyiljOX7ULVoCcQc5adEA,Sarah,cool,1
compliment,ToyiljOX7ULVoCcQc5adEA,Sarah,more,1
compliment,c4nzad7b8Wrb16NYUlTMHQ,Amanda,plain,1
compliment,c4nzad7b8Wrb16NYUlTMHQ,Amanda,writer,2
compliment,c4nzad7b8Wrb16NYUlTMHQ,Amanda,cool,2
compliment,Ax-SHHSCJttOpZ6jXdqPxQ,Jae,funny,9
compliment,Ax-SHHSCJttOpZ6jXdqPxQ,Jae,plain,1
compliment,Ax-SHHSCJttOpZ6jXdqPxQ,Jae,writer,7
compliment,Ax-SHHSCJttOpZ6jXdqPxQ,Jae,note,2
compliment,Ax-SHHSCJttOpZ6jXdqPxQ,Jae,hot,6
compliment,Ax-SHHSCJttOpZ6jXdqPxQ,Jae,cool,10
compliment,bge0eeplbO7eA_81PkBOzA,Caitlin,funny,1
compliment,bge0eeplbO7eA_81PkBOzA,Caitlin,plain,10
compliment,bge0eeplbO7eA_81PkBOzA,Caitlin,writer,9
compliment,bge0eeplbO7eA_81PkBOzA,Caitlin,note,14
compliment,bge0eeplbO7eA_81PkBOzA,Caitlin,photos,3
compliment,bge0eeplbO7eA_81PkBOzA,Caitlin,hot,13
compliment,bge0eeplbO7eA_81PkBOzA,Caitlin,more,5
compliment,bge0eeplbO7eA_81PkBOzA,Caitlin,cool,13
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,profile,1
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,funny,4
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,plain,30
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,writer,31
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,note,10
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,photos,2
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,hot,29
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,more,15
compliment,YFaq3PLiuXZtwxwDtMiOfA,Maxine,cool,54
compliment,0s7RxaTQ1R5zRQkaDqEIyQ,Ivan,more,1
compliment,fakPZgUVF9-qoskDiga0Vw,Rodney,note,3
compliment,Oec1vMkFYWpRHBv3B0YkFw,Chris,note,1
compliment,Oec1vMkFYWpRHBv3B0YkFw,Chris,funny,1
