record_type,user_id,name,review_count,average_stars,registered_on,fans_count,elite_years_count
user,qUUOvfrVdyRnyABbUUnl0A,"Ashu",25,4.0,2011-11,0,0
user,PND1GD46KWwR8pCbjVJtZQ,"Richard",1,5.0,2012-05,0,0
user,yJkIWqoZofQUVcOWEoXMQg,"Savannah",127,3.02,2011-08,0,0
user,oyiK-AV48ZvkAV1guDyNNA,"Ian",25,3.0,2014-03,1,0
user,ZQ27C0rb0ClbJTDLYKKm5A,"Karen",1,5.0,2013-02,0,0
user,_zDy7VyK8w7R_Je_xFVGnw,"Jake",8,3.62,2008-12,0,0
user,L4SLdpX4Zcol5iR8qr5rUg,"Jamie",2,5.0,2012-02,0,0
user,VRy5rz3CI1XzHlpukQ_heQ,"Hannah",20,3.75,2013-01,0,0
user,3wFp7APS-1nZv1fWpw8oIw,"IRepairs",1,5.0,2013-08,0,0
user,ahQjLUVKJjZtOuPYq4VNmg,"Anita",1,4.0,2013-08,0,0
user,le45WYMBB-S-pXHgak1EEw,"Julia",10,3.8,2009-03,0,0
user,NR0fXhNjCbPtGKVcYE3ZZA,"Sarah",2,5.0,2014-07,0,0
user,P8--AodlkDIli1eQVeQkHA,"Elizabeth",72,4.35,2011-03,2,0
user,pUH4jgOmTNIdATc6eD8ShQ,"Lawrence",6,4.67,2008-07,1,0
user,CrobQS8vrbL9WscsILhNaQ,"Kara",247,3.92,2007-02,17,4
user,Q8OVXYU-e64zPRnGmLPAFA,"Samantha",1,1.0,2014-07,0,0
user,q-PTWMtatEy3akLtSz6RUQ,"Dainen",58,3.67,2008-07,1,0
user,z0AI22yvrz6KEXXrpqmQDQ,"David",5,3.0,2011-04,0,0
user,zBOHzXD4ptV9KH9znSjGFw,"TTrraaccYY",29,3.89,2011-05,2,0
user,XruCTfe0QWF6L6CfdMVQTA,"Amy",2,3.0,2010-10,1,0
user,HmK2CTp2hqg84UZAHQwRFQ,"Shantel",4,5.0,2014-04,0,0
user,2HtycTqPdaZNwSI-5yoP4w,"Tina",205,3.57,2007-02,4,3
user,cxp0BBYoJG4r6mo1m7wAgQ,"Yen",211,3.03,2009-03,10,0
user,6IfoDdijmdN_If5eSvMOjQ,"Forest",7,3.71,2013-12,0,0
user,aDvsKYxRwhOdfiDnjAwrfA,"Adam",11,2.38,2011-09,0,0
user,Z1MYSELFSHi3bUT_0JLuIg,"Jodi",27,3.85,2011-09,0,0
user,tJo_wI3dc6MQAEVAqM49mQ,"Idealia",5,3.4,2014-08,0,0
user,BhiRY4wv4j_5iIuP__Po3Q,"Bill",7,4.12,2011-03,0,0
user,PWhJbGiPIqB0E87Up1o66w,"Jodi",3,3.67,2013-11,0,0
user,8MP2Vg9LEcJKAIzhSlh_jA,"Xochmar",9,2.78,2013-06,0,0
user,YbzSry_mp6C54naR2WvvWA,"Adriana",6,3.67,2013-01,0,0
user,6Ltt4LYdKe6yFlnJEkHPVw,"Todd",67,3.97,2007-08,5,0
user,6CfB1MEvy7AQkP0Mpbsrjw,"Olivia",3,3.67,2010-07,0,0
user,QM1CBJVZro4twuKwdA2qng,"Tammy",90,3.91,2012-09,1,0
