record_type,user_id,name,vote_type,count
user-vote,qUUOvfrVdyRnyABbUUnl0A,Ashu,funny,3
user-vote,qUUOvfrVdyRnyABbUUnl0A,Ashu,useful,17
user-vote,qUUOvfrVdyRnyABbUUnl0A,Ashu,cool,4
user-vote,PND1GD46KWwR8pCbjVJtZQ,Richard,funny,0
user-vote,PND1GD46KWwR8pCbjVJtZQ,Richard,useful,2
user-vote,PND1GD46KWwR8pCbjVJtZQ,Richard,cool,1
user-vote,yJkIWqoZofQUVcOWEoXMQg,Savannah,funny,67
user-vote,yJkIWqoZofQUVcOWEoXMQg,Savannah,useful,194
user-vote,yJkIWqoZofQUVcOWEoXMQg,Savannah,cool,37
user-vote,oyiK-AV48ZvkAV1guDyNNA,Ian,funny,15
user-vote,oyiK-AV48ZvkAV1guDyNNA,Ian,useful,36
user-vote,oyiK-AV48ZvkAV1guDyNNA,Ian,cool,11
user-vote,ZQ27C0rb0ClbJTDLYKKm5A,Karen,funny,0
user-vote,ZQ27C0rb0ClbJTDLYKKm5A,Karen,useful,0
user-vote,ZQ27C0rb0ClbJTDLYKKm5A,Karen,cool,0
user-vote,_zDy7VyK8w7R_Je_xFVGnw,Jake,funny,5
user-vote,_zDy7VyK8w7R_Je_xFVGnw,Jake,useful,12
user-vote,_zDy7VyK8w7R_Je_xFVGnw,Jake,cool,4
user-vote,L4SLdpX4Zcol5iR8qr5rUg,Jamie,funny,1
user-vote,L4SLdpX4Zcol5iR8qr5rUg,Jamie,useful,2
user-vote,L4SLdpX4Zcol5iR8qr5rUg,Jamie,cool,1
user-vote,VRy5rz3CI1XzHlpukQ_heQ,Hannah,funny,11
user-vote,VRy5rz3CI1XzHlpukQ_heQ,Hannah,useful,17
user-vote,VRy5rz3CI1XzHlpukQ_heQ,Hannah,cool,10
user-vote,3wFp7APS-1nZv1fWpw8oIw,IRepairs,funny,0
user-vote,3wFp7APS-1nZv1fWpw8oIw,IRepairs,useful,0
user-vote,3wFp7APS-1nZv1fWpw8oIw,IRepairs,cool,0
user-vote,ahQjLUVKJjZtOuPYq4VNmg,Anita,funny,0
user-vote,ahQjLUVKJjZtOuPYq4VNmg,Anita,useful,1
user-vote,ahQjLUVKJjZtOuPYq4VNmg,Anita,cool,0
user-vote,le45WYMBB-S-pXHgak1EEw,Julia,funny,2
user-vote,le45WYMBB-S-pXHgak1EEw,Julia,useful,4
user-vote,le45WYMBB-S-pXHgak1EEw,Julia,cool,3
user-vote,NR0fXhNjCbPtGKVcYE3ZZA,Sarah,funny,0
user-vote,NR0fXhNjCbPtGKVcYE3ZZA,Sarah,useful,0
